ID,EXHIBIT SPACE,TITLE,Institution,Classification,ClassID,Institution ID
1,BREE-72,Artificial Intelligence In Breast Imaging: What&#8217;s Going On In Real World?,AC Camargo Cancer Center,AI,#ERROR!,#ERROR!
2,BREE-79,Application Of Deep Learning To Establish Diagnostic Model Of Breast Lesions Usingdynamic Videograyscaleultrasound Imaging,Peking University Cancer Hospital and Institute,AI,#ERROR!,#ERROR!
3,BREE-83,"AI For Breast Imagers: Past, Present, And Future",USC Keck School of Medicine,AI,#ERROR!,#ERROR!
4,BREE-98,Radiomics In Breast Imaging For Noob,University of Malaya,Image segmentation and processing,#ERROR!,#ERROR!
5,CAEE-55,Clinical Application Of Full-color Bionic 3D Printing In Transcatheter Aortic Valve Implantation,The 1st Affiliated Hospital of Zhengzhou University,"Visualization, 3DP, AR, VR",#ERROR!,#ERROR!
6,CHEE-112,Attention Mechanism And Weakly Supervised Learning Solve Complicated Problems: Principles And Application To IIP Classification,Fujita Health University,AI,#ERROR!,#ERROR!
7,CHEE-117,Deep Learning Reconstruction In Chest CT - Issues Considered From The Dose Reduction And Image Quality In Clinical Cases -,Fukushima medical university Hospital,AI,#ERROR!,#ERROR!
8,CHEE-123-HC,Mechanism Of AIs In COVID-19 CAD And Techniques To Improve AI Performance,Nagoya University,AI,#ERROR!,#ERROR!
9,CHEE-27,Ultra-low-dose Lung CT For COVID-19 Viral Pneumonia Using Deep Learning Reconstruction.,Hakodate Goryoukaku Hospital,AI,#ERROR!,#ERROR!
10,CHEE-30,The Application Value of 3D Artifact Intelligence Automatic Positioning in Chest CT Imaging,GE China Healthcare,AI,#ERROR!,#ERROR!
11,CHEE-57,Estimating Respiratory Volume By Measuring Thoracic Volume - Analysis Performed Using Respiratory Dynamics CT Data -,Ohara Memorial Foundation General Foundation,Image segmentation and processing,#ERROR!,#ERROR!
12,CHEE-64,Micro CT Assisted Cross-modality Super-resolution - Toward Observing Micrometer-scale Anatomical Structure From Clinical CT Utilizing AI,Nagoya University,AI,#ERROR!,#ERROR!
